GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,53,0.943,0.927,0.799,0.983,12475
2,48,0.924,0.925,0.832,0.989,5542
3,29,0.814,0.822,0.637,0.964,1313
4,14,0.821,0.83,0.701,0.951,1449
5,11,0.903,0.891,0.744,0.959,357
6,14,0.737,0.745,0.64,0.865,734
7,27,0.931,0.925,0.822,0.99,957
8,8,0.776,0.769,0.667,0.857,714
9,11,0.835,0.815,0.72,0.911,792
10,5,0.876,0.867,0.777,0.916,261
11,11,0.892,0.882,0.808,0.951,328
12,7,0.954,0.94,0.856,0.984,193
