GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,36,0.896,0.87,0.687,1.0,2648
2,52,0.897,0.847,0.635,0.97,4723
3,54,0.841,0.827,0.607,0.954,6623
4,54,0.934,0.918,0.798,1.0,6861
5,16,0.807,0.804,0.654,0.926,1340
6,40,0.943,0.931,0.819,0.992,2107
7,7,0.947,0.937,0.849,0.984,196
8,4,0.919,0.919,0.848,0.989,127
9,1,0.829,0.829,0.829,0.829,19
10,3,0.841,0.836,0.801,0.865,144
13,1,0.889,0.889,0.889,0.889,24
14,9,0.935,0.92,0.866,0.958,256
