GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,53,0.882,0.876,0.771,0.953,10045
2,51,0.971,0.953,0.826,0.991,8729
3,15,0.817,0.828,0.701,0.967,1497
4,10,0.93,0.908,0.721,0.968,239
5,28,0.931,0.924,0.803,0.99,972
6,11,0.811,0.811,0.721,0.912,876
7,9,0.723,0.741,0.656,0.83,355
8,7,0.811,0.806,0.713,0.881,470
9,5,0.783,0.801,0.753,0.871,167
10,7,0.913,0.9,0.839,0.94,167
11,5,0.872,0.862,0.768,0.925,281
12,11,0.798,0.796,0.632,0.902,364
13,11,0.894,0.889,0.799,0.951,329
14,2,0.836,0.836,0.769,0.904,54
15,2,0.897,0.897,0.858,0.936,109
16,7,0.954,0.94,0.857,0.984,192
18,1,0.94,0.94,0.94,0.94,24
