GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,48,0.973,0.957,0.851,0.991,8693
2,50,0.883,0.879,0.763,0.97,5966
3,40,0.963,0.961,0.908,1.0,3621
4,15,0.81,0.824,0.697,0.942,1519
5,5,0.907,0.895,0.711,0.989,124
6,28,0.931,0.925,0.82,0.99,975
7,13,0.845,0.845,0.725,0.92,901
8,9,0.721,0.738,0.656,0.805,359
9,3,0.798,0.81,0.779,0.855,74
10,6,0.911,0.904,0.84,0.935,153
11,7,0.829,0.811,0.714,0.893,457
12,5,0.808,0.805,0.743,0.884,172
13,11,0.815,0.797,0.631,0.906,382
14,5,0.888,0.865,0.767,0.901,259
15,11,0.896,0.889,0.798,0.951,327
16,6,0.856,0.855,0.763,0.942,264
17,7,0.954,0.944,0.857,0.984,191
18,2,0.899,0.899,0.874,0.924,101
19,1,0.94,0.94,0.94,0.94,24
