K,GEP,pathway,NES,pval,fdr,Name,ES,FWER p-val,Tag %,Gene %,Lead_genes,spectra_file
11,1,ISTHMUS,-2.972256078195164,0.0,0.0,prerank,-0.6343973059681609,0.0,100/144,24.22%,EPCAM;AGR2;ELF3;TSPAN1;KRT8;CDH1;MUC1;LGALS3;GSN;ABCC3;CREB3L1;FCGBP;MYH14;ITGB4;MLPH;ATP8B1;RBM47;GPX2;PLEKHA6;TPM1;MISP;MGLL;HES1;S100P;TFCP2L1;KLF4;TSPAN15;ID1;DST;TMPRSS4;FLNB;CA2;EFNB2;KRT19;CYP3A5;NIBAN2;TLN2;ITGA6;TACSTD2;SH3RF1;MYO10;UGDH;NQO1;AKR1C3;AKAP1;LAMB3;BACE2;MAL2;ALDH3A1;SERPINB5;ADAM15;CAPN8;PPARG;LAD1;S100A14;SDC4;KCNE3;ASAP2;CCND1;BLVRB;TTC39A;LAMA3;CAPG;REP15;PLXNA2;NET1;FHL2;KLF3;PPFIBP1;PALLD;TIMP1;HSP90B1;TUBA1C;TK1;FBLIM1;LMO4;AKR1B10;PRKCD;LMO7;TOP2A;ANO1;FERMT1;FABP5;SULT1C2;SCD;CSTB;FER1L6;TXNRD1;SMPD3;HSPA5;LLGL2;LDLR;FOXQ1;PHLDA2;IL1RN;TPX2;FMN1;TUBB4B;DBI;MKI67,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,PROGENITOR_LIKE,-2.8742466293432325,0.0,0.0,prerank,-0.5880235353225999,0.0,97/149,26.16%,ITM2C;COL6A1;COL4A2;TPM1;COL3A1;MGLL;COL1A2;S100P;WFDC2;CXCL14;EMP1;ID1;CALD1;AQP1;COL6A3;AEBP1;COL1A1;FN1;IGFBP7;MMP2;HSPG2;EFNA1;DCN;MATN2;GPC1;CNN3;FSTL1;RCN3;TM4SF1;COL5A2;BCAR1;SLPI;PRSS23;NFIX;MDK;IGFBP5;P4HA2;PRDX4;SOD3;PFN2;EDIL3;NT5E;SDC4;MYL9;COL5A1;PMP22;BMP2;GJA1;PKIG;FKBP10;SPTSSA;SLC39A14;FGFR1;SOX4;DSTN;CAVIN1;BGN;SERPINH1;CAV2;COL12A1;CPE;COL15A1;TNC;TSC22D1;ID4;TIMP3;PCOLCE;DKK3;RASD1;FMOD;MXRA8;ANGPTL2;NNMT;CAV1;PTN;CCN2;CCN1;IGFBP3;LOX;CTHRC1;SERPINE2;CRIP2;CHPF;COL9A2;CLMP;MAP1B;CRYAB;CSPG4;MGP;TPM2;LOXL2;SNAI2;CRABP2;PRRX1;CD55;SELENOM;TMEM47,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,IMMATURE_PIT,-2.867235975786761,0.0,0.0,prerank,-0.6792133133644505,0.0,44/69,12.58%,AGR2;TSPAN1;KRT8;VSIG2;CEACAM5;MUC1;LGALS3;GSN;ABCC3;FCGBP;ITGB4;RBM47;GPX2;TPM1;IFI27;MGLL;S100P;KLF4;ID1;FLNB;CA2;EFNB2;KRT19;CYP3A5;DSC2;TACSTD2;RNASE1;UGDH;NQO1;AKR1C3;MAL2;ALDH3A1;CAPN8;S100A14;AKR1C2;CYSTM1;CCND1;BLVRB;CAPG;REP15;NET1;FHL2;PTGR1;KLF3,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,EPCAM_POS_BILE_DUCT,-2.7874598877436054,0.0,0.0,prerank,-0.5763817190287045,0.0,133/227,20.56%,EPCAM;CLDN7;AGR2;ELF3;CLDN4;CD24;GOLM1;KRT8;SPINT1;CDH1;TFF3;MUC1;LGALS3;PTPRK;ABCC3;NEDD4L;DDR1;MLPH;RBM47;GPX2;SLC12A2;WNK2;CAMK2N1;ATP1B1;TPM1;MGLL;CKB;OCLN;HES1;CGN;LAMC1;ERBB3;WFDC2;MAOA;GLUL;GCNT3;DST;AQP1;CEACAM6;TNFAIP2;FLNB;CA2;TNFRSF21;CTSH;VEGFA;KRT19;CYP3A5;LAMA5;NIBAN2;THBS1;TACSTD2;RHOB;MYO10;SLC4A4;PDZK1IP1;EPHA2;LCN2;PROM1;MYO6;NQO1;SAT1;LGALS2;ITGB5;TM4SF1;SLPI;TJP1;LAMB3;BACE2;MAL2;ALCAM;TMC5;PLXNB1;LAD1;SOD3;S100A14;NFIB;ANPEP;VCAN;PBX1;SDC4;C6orf132;FGFR2;ADAM9;AKR1C2;CYSTM1;CES1;CCND1;HSPA1B;PLD1;SDCBP2;BMP2;CLDN1;PTPRD;CRIM1;RBPMS;SOX4;CLU;DSTN;MYLK;COL27A1;CAV2;KIF12;ITGB8;SLC5A1;NR2F2;EGR1;SOD2;HSD17B11;LMO4;GDF15;C3;AKR1B10;PAQR5;ENPP2;LMO7;MET;CCN2;THSD4;MAGI1;AMOTL2;GABRP;EPB41L1;TPPP3;PHGDH;CCN1;KLK11;FGFR3;SLC7A1;ANXA3;MYRF;SORBS2;KRT80;LLGL2,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,STEM,-2.75307181506994,0.0,0.0,prerank,-0.6535242233458864,0.0,43/65,18.86%,EPCAM;AGR2;CLDN4;GOLM1;KRT8;FCGRT;PPP1R1B;NRARP;BCL11A;GPX2;SLC12A2;MARCKSL1;EPHB2;LAMB1;HES1;PKDCC;AQP1;ITGA6;MYO10;RNF43;FOS;RGMB;TM4SF1;MECOM;LYZ;NFIB;CERS6;CES1;CCND1;BMP4;JUN;MYB;SOX4;CLU;DSTN;ENC1;TSC22D1;RHOBTB3;EGR1;GDF15;DMBT1;FERMT1;DACH1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,MATURE_PIT,-2.730317920180182,0.0,0.0,prerank,-0.6253738228752482,0.0,65/102,18.50%,ELF3;TSPAN1;KRT8;VSIG2;C15orf48;SPINT1;FCGRT;CEACAM5;MUC1;LGALS3;GSN;ABCC3;CREB3L1;FCGBP;MYH14;MLPH;RBM47;GPX2;IGFBP4;SCNN1A;IFI27;MGLL;OCLN;HES1;S100P;KLF4;ID1;FLNB;CA2;TNFRSF21;EFNB2;VEGFA;KRT19;CYP3A5;DSC2;TACSTD2;SPIRE2;RNASE1;COL17A1;NQO1;AKR1C3;SLPI;LAMB3;MAL2;ALDH3A1;CAPN8;S100A14;AKR1C2;CYSTM1;CCND1;DUOX2;REP15;BASP1;NET1;FHL2;KLF3;CSTA;UNC5B;TUBA1C;AKR1B10;PRKCD;LMO7;ABCC5;SULT1C2;FOXA3,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,CL6_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL,-2.701210335564094,0.0,0.0,prerank,-0.5830639302091593,0.0,112/163,25.82%,FCGRT;TMEM176B;LGALS3;GSN;MMP14;IGFBP4;NBL1;COL6A1;SPARC;TPM1;COL3A1;HES1;C1S;COL1A2;GLUL;PLPP3;KLF4;FBLN1;EPHX1;C1R;CALD1;PSAP;COL6A3;AEBP1;NDRG2;SELENOP;KRT19;QSOX1;COL1A1;COL6A2;FN1;MMP2;RHOB;DCN;LUM;MATN2;SERPINF1;FOS;CXCL12;FSTL1;COL18A1;ID3;TIMP2;MFAP4;IFITM3;MDK;IGFBP5;PRDX4;PFN2;CYBRD1;PBX1;MYL9;ALDH1A1;TAGLN;PMP22;PLTP;HSPA1B;EMILIN1;ST3GAL4;JUN;CSRP1;LTBP4;SPARCL1;CDH11;FKBP10;SERPING1;APOE;DSTN;MYLK;CAVIN1;BGN;SERPINH1;PALLD;CPE;HSPA6;SLC40A1;SVIL;ACTA2;NR2F2;GSTM3;ABCA8;TIMP1;EGR1;CFD;GPC3;ADAMTS1;HTRA1;MXRA8;CYB5A;ADM;THY1;SGK1;ENG;CCDC80;CCN1;IGFBP3;FXYD6;PDGFRA;PDK4;TSPAN4;TGFB1I1;CFH;CRYAB;SMOC2;MGP;TPM2;CTSD;OLFML3;SNAI2;IER3;IGF1;SELENOM,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,KIDNEY_URETERIC_BUD,-2.6397687735624515,0.0,0.0,prerank,-0.563179333674925,0.0,63/139,17.08%,CLDN7;FAM3D;ELF3;CLDN4;TSPAN1;KRT8;VSIG2;SPINT1;MUC1;AOC1;MYH14;EHF;ITGB4;MLPH;TMEM45B;ATP10B;GPX2;B3GNT3;CGN;S100P;MAOA;ESRP2;PPFIBP2;KRT19;BICDL2;EPB41L4B;TACSTD2;COL17A1;CBLC;POF1B;GRHL2;RNF43;PKP1;CDCP1;PROM2;LAMB3;MAL2;PLEKHG6;LAD1;S100A14;DEGS2;C6orf132;ALDH1A1;PPL;C4orf19;AKR1C2;TMEM184A;TTC39A;IRF6;KRT15;TMEM238L;S100A2;HR;EVPL;TNS4;RDH10;ADIRF;CWH43;SPRR3;SCNN1B;SDK1;SCIN;FAM3B,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,OLFACTORY_NEUROEPITHELIUM_FIBROBLASTS_STROMAL,-2.595070518038211,0.0,0.0,prerank,-0.607170381987829,0.0,61/74,29.38%,GSN;IGFBP4;NBL1;SPARC;TPM1;COL3A1;C1S;COL1A2;PLPP3;FBLN1;C1R;CALD1;AEBP1;SELENOP;COL1A1;COL6A2;IGFBP7;DCN;LUM;SERPINF1;TGFBI;TIMP2;MFAP4;IFITM3;IGFBP5;TAGLN;GJA1;CDH11;TCIM;SERPING1;BGN;CPE;ECM1;ACTA2;NR2F2;PCOLCE;ABCA8;TIMP1;MXRA8;ENPP2;PTN;THY1;CCN1;SFRP2;FGF7;CH25H;TFAP2A;CCL2;SYNPO2;TGM2;MGP;TPM2;CCDC3;CRABP2;PRRX1;SELENOM;CYP1B1;SFRP1;CCL11;INMT;RARRES2,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,STELLATE,-2.5925608988934896,0.0,0.0,prerank,-0.5309869139895961,0.0,185/277,30.90%,ITM2C;GSN;LRP1;IGFBP4;CAMK2N1;COL6A1;COL4A2;SPARC;TPM1;COL3A1;A2M;LAMB1;C1S;COL1A2;TCF4;LAMC1;GLUL;KLF4;FBLN1;CXCL14;EMP1;C1R;CALD1;COL4A1;DST;COL6A3;AEBP1;QSOX1;COL1A1;EPAS1;COL6A2;THBS1;IGFBP7;MMP2;DCN;LUM;MATN2;SERPINF1;NID1;FOS;CXCL12;FSTL1;ITGB5;ID3;COL14A1;PRSS23;NOTCH3;TIMP2;MFAP4;NFIX;IFITM3;IGFBP5;MYH11;EPB41L2;ADGRA2;FBN1;SOD3;ITIH5;PRKG1;CYBRD1;PBX1;FGFR2;MYL9;ALDH1A1;COL5A1;ADAMTSL1;PXDN;BMP2;ANTXR1;CSRP1;LTBP4;SPARCL1;RBP1;TBX2;NEURL1B;UACA;RBPMS;PTGDS;TNS1;SEMA5A;ITGA9;DSTN;MYLK;CAVIN1;BGN;ARHGEF17;PDGFRB;PALLD;CRISPLD2;CPE;KAZN;TSC22D1;ID4;ITGA8;TIMP3;ECM1;ACTA2;NR2F2;PCOLCE;EBF1;FBLN5;TIMP1;EGR1;THBS2;DKK3;RASD1;CDKN1A;DPYSL2;ADAMTS1;C1QTNF1;FBLN2;EFEMP1;MXRA8;CYGB;CAV1;PTN;THY1;NID2;CCN2;NR2F1;ENG;CCDC68;CCDC80;RND3;RBMS3;CCN1;IGFBP3;PLAT;FXYD6;VSTM4;CEBPB;FHL1;MCAM;PDGFRA;SVEP1;GGT5;CH25H;VIPR1;ADAMTS9;RCAN2;CCL2;ADAMTS2;FILIP1L;MXRA7;SLITRK6;CFH;SYNPO2;GPX3;MAP1B;LIFR;CRYAB;CSPG4;EDNRB;MGP;DLC1;TPM2;NES;TOB1;OLFML3;CCDC3;DENND2A;IER3;DAAM2;ABCA10;LAMA2;SPRY1;C11orf96;ADCY5;PRELP;SFRP1;GPC6;ITGA7;STEAP4;MYC;RGS5;LAMC3;INMT;SLIT3;RSPO3;CPXM2;LYPD6B;NEXN;MMP19;MITF;DDR2,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,CTX_BRAIN_NAIVE_LIKE_T,2.5869930133195584,0.0,0.0,prerank,0.8863612920916453,0.0,93/110,9.04%,CD2;ARHGEF1;CD96;ZAP70;CD3E;IL32;CD3D;SEPTIN1;LAT;ACAP1;TRAF3IP3;IL7R;CD6;CORO1A;THEMIS;TBC1D10C;DGKA;ITK;IL2RG;SKAP1;LCK;GIMAP4;ARHGAP15;CLEC2D;CD5;ETS1;CD7;PTPRC;TCF7;GIMAP7;DENND2D;FGD3;CD3G;RAC2;STK17B;TC2N;ICOS;SAMD3;OXNAD1;IL16;CYTIP;SH2D1A;JAML;ARHGDIB;STK4;LIMD2;PRKCH;TRAT1;GPR171;CD40LG;SEPTIN6;PIK3IP1;TESPA1;ARL4C;LTB;CAMK4;FLT3LG;SCML4;CYFIP2;CD69;LSP1;BTN3A2;GBP2;GPSM3;CD52;LRRN3;LEPROTL1;C16orf54;GMFG;CDC42SE2;TXK;ICAM3;CD48;LY9;FCMR;SATB1;IL27RA;CCR7;RHOH;CCND3;CD27;MTERF4;TNFAIP3;RIPOR2;PLAAT4;PIM2;LPIN1;LEF1;TSC22D3;SELL;SYTL1;LIME1;EMP3,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
